#	Temperature (K)	   Magnetization		C_v	
    374.480518339509      0.055195732985	0.102041590891E+01
    376.572532404915      0.053295296587	0.100020427995E+01
    378.664546470320      0.051700949880	0.100373560998E+01
    380.756560535726      0.049091314736	0.994512541259E+00
    382.848574601132      0.048618727967	0.983384607711E+00
    384.940588666538      0.047903788704	0.986764899410E+00
    387.032602731944      0.046399370660	0.973812659258E+00
    389.124616797350      0.044978336986	0.978364795965E+00
    391.216630862756      0.043921658399	0.951537129956E+00
    393.308644928162      0.043180285746	0.953676011762E+00
    395.400658993568      0.041999095360	0.929675468026E+00
    397.492673058974      0.041495190396	0.926210605965E+00
    399.584687124380      0.040645489471	0.913561504885E+00
    401.676701189786      0.040001945671	0.920392155942E+00
    403.768715255192      0.039190242036	0.927516016083E+00
    405.860729320597      0.039391164099	0.907219425960E+00
    407.952743386003      0.037324348663	0.900876072008E+00
    410.044757451409      0.037342735964	0.889776720098E+00
    412.136771516815      0.036449197790	0.886358338674E+00
    414.228785582221      0.035989205846	0.884705718485E+00
    416.320799647627      0.035183966083	0.868247468717E+00
    418.412813713033      0.034933432955	0.877316536074E+00
    420.504827778439      0.034413878176	0.862999635951E+00
    422.596841843845      0.034134085849	0.864906982874E+00
    424.688855909251      0.033972643871	0.869557919371E+00
